#options: 720x576 fps=25000/1001 cabac=1 ref=4 deblock=1:0:0 analyse=0x3:0x133 me=umh subme=6 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=3 b_pyramid=1 b_adapt=1 b_bias=0 direct=1 wpredb=1 bime=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=8000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=1.00 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 pb_ratio=1.30 aq=2:1.00
in:46 out:45 type:P q:18.00 itex:280381 ptex:113269 mv:57905 misc:525 imb:928 pmb:639 smb:53 d:-;
in:45 out:46 type:b q:21.00 itex:25 ptex:104050 mv:13216 misc:1341 imb:2 pmb:886 smb:357 d:-;
in:48 out:47 type:P q:18.00 itex:122530 ptex:237112 mv:46689 misc:525 imb:412 pmb:1144 smb:64 d:-;
in:47 out:48 type:b q:20.00 itex:60 ptex:121092 mv:13400 misc:1352 imb:3 pmb:880 smb:362 d:-;
in:50 out:49 type:P q:18.00 itex:171155 ptex:196263 mv:49595 misc:579 imb:579 pmb:976 smb:65 d:-;
in:49 out:50 type:b q:20.00 itex:132 ptex:123285 mv:13797 misc:1322 imb:5 pmb:909 smb:352 d:-;
in:52 out:51 type:P q:18.00 itex:150104 ptex:212195 mv:47072 misc:589 imb:471 pmb:1077 smb:72 d:-;
in:51 out:52 type:b q:20.00 itex:66 ptex:120572 mv:13820 misc:1350 imb:4 pmb:888 smb:371 d:-;
in:54 out:53 type:P q:18.00 itex:148976 ptex:211349 mv:47436 misc:631 imb:468 pmb:1056 smb:96 d:-;
in:53 out:54 type:b q:20.00 itex:64 ptex:123360 mv:14010 misc:1326 imb:4 pmb:890 smb:358 d:-;
in:56 out:55 type:P q:18.00 itex:142077 ptex:215696 mv:48201 misc:674 imb:455 pmb:1073 smb:92 d:-;
in:55 out:56 type:b q:20.00 itex:166 ptex:123380 mv:13940 misc:1290 imb:4 pmb:880 smb:361 d:-;
in:58 out:57 type:P q:18.00 itex:153605 ptex:204259 mv:48556 misc:668 imb:483 pmb:1036 smb:101 d:-;
in:57 out:58 type:b q:20.00 itex:33 ptex:122819 mv:14436 misc:1312 imb:2 pmb:884 smb:377 d:-;
in:60 out:59 type:P q:18.00 itex:153660 ptex:202167 mv:49050 misc:699 imb:473 pmb:1042 smb:105 d:-;
in:59 out:60 type:b q:20.00 itex:0 ptex:121681 mv:13893 misc:1330 imb:0 pmb:865 smb:392 d:-;
in:62 out:61 type:P q:18.00 itex:151658 ptex:202244 mv:49249 misc:665 imb:484 pmb:1034 smb:102 d:-;
in:61 out:62 type:b q:20.00 itex:97 ptex:123280 mv:14129 misc:1278 imb:4 pmb:868 smb:385 d:-;
in:64 out:63 type:P q:18.00 itex:149405 ptex:203429 mv:47214 misc:696 imb:467 pmb:1033 smb:120 d:-;
in:63 out:64 type:b q:20.00 itex:214 ptex:120984 mv:14590 misc:1332 imb:5 pmb:855 smb:400 d:-;
in:66 out:65 type:P q:17.00 itex:180210 ptex:211122 mv:49041 misc:723 imb:529 pmb:968 smb:123 d:-;
in:65 out:66 type:b q:20.00 itex:158 ptex:118872 mv:14414 misc:1324 imb:8 pmb:842 smb:409 d:-;
in:68 out:67 type:P q:17.00 itex:163836 ptex:221130 mv:50398 misc:732 imb:474 pmb:1019 smb:127 d:-;
in:67 out:68 type:b q:19.00 itex:45 ptex:141851 mv:14945 misc:1279 imb:1 pmb:843 smb:398 d:-;
in:70 out:69 type:P q:17.00 itex:172007 ptex:211255 mv:49612 misc:726 imb:487 pmb:990 smb:143 d:-;
in:69 out:70 type:b q:19.00 itex:72 ptex:139450 mv:15143 misc:1239 imb:3 pmb:793 smb:408 d:-;
in:72 out:71 type:P q:17.00 itex:171089 ptex:208902 mv:49572 misc:733 imb:486 pmb:988 smb:146 d:-;
in:71 out:72 type:b q:19.00 itex:200 ptex:139185 mv:14899 misc:1268 imb:9 pmb:790 smb:421 d:-;
in:74 out:73 type:P q:17.00 itex:148742 ptex:224987 mv:49471 misc:768 imb:414 pmb:1037 smb:169 d:-;
in:73 out:74 type:b q:19.00 itex:105 ptex:138976 mv:15265 misc:1246 imb:5 pmb:780 smb:433 d:-;
in:75 out:75 type:P q:17.00 itex:2495 ptex:269895 mv:25905 misc:961 imb:24 pmb:1367 smb:229 d:-;
